name,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020
Suffolk New York,+0,+424,+422,+380,+475,+650,+753,+885,+768,+922,+892,+1141,+1408,+1216,+1759,+1056,+1376,+1447,+1795,+1517,+1,+613,+709,+1048,+832,+1289,+223,+1108,+745,+1239,+574
Sussex Delaware,+0,+6,+5,+3,+1,+10,+22,+7,+15,+7,+13,+4,+12,+8,+26,+8,+51,+69,+15,+42,+68,+60,+87,+88,+39,+20,+113,+75,+0,+169,+84
Tarrant Texas,+0,+10,+14,+19,+10,+14,+14,+11,+99,+35,+15,+37,+58,+21,+14,+34,+65,+71,+49,+68,+0,+82,+89,+53,+61,+103,+82,+54,+0,+13,+91
Travis Texas,+0,+17,+7,+12,+21,+41,+19,+21,+6,+38,+0,+107,+0,+79,+54,+18,+0,+52,+43,+45,+48,+54,+30,+82,+44,+77,+97,+0,+18,+16,+66
Ulster New York,+0,+0,+17,+30,+13,+20,+35,+13,+44,+17,+15,+18,+23,+27,+68,+24,+16,+64,+0,+68,+59,+66,+61,+0,+29,+100,+35,+0,+80,+37,+21
Unassigned New Jersey,+0,+198,+226,+285,+548,+506,+494,+542,+827,+-161,+826,+354,+-58,+-873,+-114,+-300,+-1314,+-816,+-395,+-347,+275,+350,+-71,+499,+-513,+-141,+-329,+29,+-163,+0,+2488
Unassigned Rhode Island,+0,+-3,+18,+8,+2,+38,+36,+-50,+114,+13,+-24,+-80,+66,+95,+-3,+94,+21,+-79,+277,+-143,+241,+316,+0,+586,+-795,+146,+-112,+356,+-116,+-169,+139
Unassigned US Military,+0
Union New Jersey,+0,+65,+57,+16,+170,+87,+223,+154,+317,+205,+243,+349,+477,+429,+300,+469,+683,+463,+372,+372,+290,+315,+456,+629,+173,+466,+525,+530,+650,+363,+0
Wayne Michigan,+0,+161,+238,+246,+267,+421,+506,+388,+491,+540,+735,+599,+1027,+666,+756,+752,+775,+581,+467,+446,+412,+213,+484,+561,+335,+0,+689,+238,+221,+220,+0
Weld Colorado,+0,+13,+0,+37,+20,+0,+22,+51,+0,+75,+0,+38,+36,+50,+91,+34,+33,+36,+0,+41,+35,+89,+70,+50,+0,+70,+32,+26,+77,+0,+117
Westchester New York,+0,+1021,+997,+800,+1253,+1243,+688,+644,+807,+641,+716,+884,+784,+730,+642,+571,+0,+1593,+1117,+1073,+652,+584,+473,+405,+756,+881,+648,+703,+624,+503,+350
Will Illinois,+0,+3,+4,+12,+0,+64,+23,+55,+41,+5,+94,+62,+71,+127,+66,+49,+0,+217,+0,+163,+49,+102,+55,+67,+83,+61,+72,+37,+40,+49,+44
Worcester Massachusetts,+0,+5,+31,+56,+37,+53,+72,+46,+53,+43,+130,+104,+158,+90,+63,+99,+95,+124,+165,+217,+144,+210,+96,+118,+104,+153,+262,+187,+117,+0,+272
 Puerto Rico,+0,+8,+8,+12,+13,+15,+21,+27,+47,+65,+47,+30,+0,+136,+23,+38,+60,+47,+63,+42,+63,+109,+6,+20,+51,+69,+25,+50,+95,+39,+46
 Veteran Hospitals,+0
Williamson Texas,+0,+5,+0,+8,+5,+7,+0,+3,+0,+5,+8,+13,+8,+0,+6,+0,+4,+6,+10,+6,+7,+3,+4,+2,+5,+4,+12,+6,+5,+4,+1
Hampshire Massachusetts,+0,+2,+2,+3,+6,+3,+10,+7,+9,+23,+12,+21,+12,+11,+3,+19,+11,+6,+13,+17,+10,+15,+5,+9,+6,+9,+10,+48,+11,+0,+20
